Hour,Energy,Predicted,Amount,Dirty_bit
1,140,144.9416424,4.941642423,0
2,63,67.14313473,4.143134726,0
3,83,87.41884061,4.418840608,0
4,137,141.9199809,4.919980926,0
5,87,91.46590812,4.465908119,0
6,162,167.08759630000003,5.087596335,0
7,108,112.68213119999999,4.682131227,0
8,212,217.3565863,5.356586275,0
9,94,98.54329478,4.543294782,1
10,93,97.53259949,4.532599493,0
11,101,105.6151205,4.615120517,0
12,118,122.7706846,4.770684623999999,0
13,95,99.55387689,4.553876892,0
14,124,128.8202816,4.820281566,0
15,106,110.66343909999998,4.663439094,0
16,74,78.30406509,4.304065093,0
17,57,61.04305127,4.043051268,0
18,85,89.44265126,4.442651256,0
19,83,87.41884061,4.418840608,0
20,111,115.70953020000002,4.709530201000001,0
21,200,205.2983174,5.298317367,0
22,145,149.97673369999998,4.9767337419999995,0
23,90,94.49980967,4.49980967,0
24,103,107.63472900000001,4.634728988,0
