Hour,Energy,Predicted,Amount,Dirty_bit
1,76,80.33073334,4.33073334,0
2,75,79.31748811,4.317488114,0
3,102,106.6249728,4.624972813,0
4,96,100.56434820000001,4.5643481910000006,0
5,152,157.0238805,5.023880521000001,0
6,124,128.8202816,4.820281566,0
7,86,90.4543473,4.454347296,0
8,159,164.0689042,5.068904202,0
9,72,82.35670883,10.356708830000002,1
10,183,188.2094862,5.209486153,0
11,117,121.76217390000001,4.762173935,0
12,121,125.79579050000001,4.795790546,0
13,142,146.9558271,4.955827058000001,0
14,169,174.12989869999998,5.129898715,0
15,99,103.5951199,4.59511985,0
16,132,136.8828019,4.882801923,0
17,140,144.9416424,4.941642423,0
18,108,112.68213119999999,4.682131227,0
19,143,147.9628446,4.96284463,0
20,172,177.1474945,5.1474944769999995,0
21,118,122.7706846,4.770684623999999,0
22,168,173.123964,5.123963979,0
23,197,202.28320369999997,5.283203728999999,0
24,83,87.41884061,4.418840608,0
