Hour,Energy,Predicted,Amount,Dirty_bit
1,47,50.8501476,3.850147602,0
2,67,71.20469262,4.204692619,0
3,45,48.80666249,3.80666249,0
4,43,46.76120012,3.761200116,0
5,45,48.80666249,3.80666249,0
6,32,35.4657359,3.465735903,0
7,45,48.80666249,3.80666249,0
8,105,109.6539604,4.65396035,0
9,129,133.8598124,4.859812404,0
10,56,60.02535169,4.025351691,0
11,24,27.17805383,3.17805383,0
12,49,52.8918203,3.891820298,0
13,55,59.00733319,4.007333185,0
14,90,94.49980967,4.49980967,0
15,113,117.7273878,4.727387819,0
16,85,89.44265126,4.442651256,0
17,31,34.4339872,3.433987204,0
18,65,69.17438727,4.17438727,0
19,115,119.7449321,4.744932128,0
20,93,97.53259949,4.532599493,0
21,47,50.8501476,3.850147602,0
22,100,104.6051702,4.605170186,0
23,88,92.47733681,4.477336814,0
24,87,91.46590812,4.465908119,0
