Hour,Energy,Predicted,Amount,Dirty_bit
1,70,74.24849524,4.248495242,0
2,126,130.83628190000002,4.836281907,0
3,146,150.9836066,4.983606622,0
4,113,117.7273878,4.727387819,0
5,150,155.01063530000005,5.010635294,0
6,142,146.9558271,4.955827058000001,0
7,127,131.8441871,4.844187086,0
8,195,200.2729996,5.272999559,0
9,114,118.73619840000002,4.736198448000001,1
10,89,93.48863637,4.48863637,0
11,195,200.2729996,5.272999559,0
12,169,175.13579840000003,6.135798400000027,1
13,190,195.2470241,5.247024072,0
14,96,100.5643482,4.5643481910000006,0
15,57,61.04305127,4.043051268,0
16,179,184.1873858,5.187385806,0
17,180,185.1929569,5.192956851,0
18,215,220.370638,5.370638027999999,0
19,221,226.3981627,5.3981627020000005,0
20,209,214.34233430000003,5.342334252,0
21,149,154.00394630000002,5.0039463060000005,0
22,83,87.41884061,4.418840608,0
23,147,151.9904326,4.990432587,0
24,155,160.04342509999995,5.043425117,0
