Hour,Energy,Predicted,Amount,Dirty_bit
1,146,150.9836066,4.983606622,0
2,102,106.6249728,4.624972813,0
3,161,166.0814044,5.081404365,0
4,71,75.26267988,4.262679877,0
5,97,101.574711,4.574710979,0
6,122,126.80402099999999,4.804021045,0
7,196,201.27811469999997,5.278114659,0
8,88,92.47733681,4.477336814,0
9,107,111.67282879999999,4.672828834,0
10,198,203.288267,5.288267031,0
11,133,137.89034909999998,4.890349128,0
12,161,161.049856,0.04985600000000545,1
13,171,176.1416636,5.141663557,0
14,115,119.7449321,4.744932128,0
15,155,160.04342509999995,5.043425117,0
16,152,157.0238805,5.023880521000001,0
17,152,157.0238805,5.023880521000001,0
18,127,131.8441871,4.844187086,0
19,119,123.77912350000001,4.779123493,0
20,78,82.35670883,4.356708827,0
21,114,118.73619840000002,4.736198448000001,0
22,106,110.66343909999998,4.663439094,0
23,166,171.1119878,5.111987788,0
24,149,154.00394630000002,5.0039463060000005,0
