Hour,Energy,Predicted,Amount,Dirty_bit
1,295,300.6869754,5.686975356,0
2,156,161.049856,5.049856007,0
3,164,169.0998664,5.099866428,0
4,237,242.4680601,5.468060141,0
5,122,126.804021,4.804021045,0
6,132,136.8828019,4.882801923,0
7,141,145.9487599,4.94875989,0
8,87,91.46590812,4.465908119,0
9,256,261.5451774,5.545177444,0
10,219,224.3890717,5.38907173,0
11,181,186.198497,5.198497031,0
12,172,177.1474945,5.147494477,0
13,119,123.7791235,4.779123493,0
14,163,168.0937502,5.093750201,0
15,199,204.2933048,5.293304825,0
16,30,33.40119738,3.401197382,0
17,280,285.6347896,5.634789603,0
18,174,179.1590553,5.159055299,0
19,190,195.2470241,5.247024072,0
20,106,110.6634391,4.663439094,0
21,202,207.3082677,5.308267697,0
22,158,163.062595,5.062595033,0
23,241,246.4847969,5.484796933,0
24,205,210.32301,5.323009979,0
