Hour,Energy,Predicted,Amount,Dirty_bit
1,0,242.4680601,5.468060141,0
2,0,210.32301,0,1
3,0,219.365976,0,0
4,0,220.370638,0,1
5,0,383.9348942,5.934894196,0
6,227,0,0,0
7,0,0,5.549076085,0
8,231,0,5.442417711,1
9,268,0,0,0
10,0,261.5451774,5.545177444,0
11,321,0,0,0
12,0,268.572154,5.572154032,0
13,157,0,5.056245805,0
14,0,135.8751973,0,0
15,242,0,5.488937726,0
16,330,0,5.799092654,0
17,457,0,6.124683391,0
18,0,314.7333413,0,0
19,369,374.9107966,5.910796644,0
20,154,0,0,0
21,0,247.4889377,5.488937726,1
22,139,0,4.934473933,0
23,58,0,4.060443011,0
24,0,126.804021,4.804021045,0
