Hour,Energy,Predicted,Amount,Dirty_bit
1,89,93.48863637,4.48863637,0
2,58,62.06044301,4.060443011,0
3,79,83.36944785,4.369447852,0
4,82,86.40671925,4.406719247,0
5,130,134.8675345,4.86753445,0
6,120,124.7874917,4.787491743,0
7,108,112.6821312,4.682131227,0
8,140,144.9416424,4.941642423,0
9,60,64.09434456,4.094344562,0
10,54,57.98898405,3.988984047,0
11,97,101.574711,4.574710979,0
12,81,85.39444915,4.394449155,0
13,60,64.09434456,4.094344562,0
14,119,123.7791235,4.779123493,0
15,106,110.6634391,4.663439094,0
16,37,40.61091791,3.610917913,0
17,85,89.44265126,4.442651256,0
18,75,79.31748811,4.317488114,0
19,101,105.6151205,4.615120517,0
20,58,62.06044301,4.060443011,0
21,77,81.34380542,4.343805422,0
22,47,50.8501476,3.850147602,0
23,45,48.80666249,3.80666249,0
24,84,88.4308168,4.430816799,0
