Hour,Energy,Predicted,Amount,Dirty_bit
1,237,242.46806014113514,5.46806014113514,0
2,205,210.32300997913842,5.323009979138419,0
3,214,219.36597601502186,5.365976015021857,0
4,215,220.37063802812767,5.370638028127672,0
5,378,383.93489419561956,5.934894195619563,0
6,227,232.4249500174814,5.424950017481393,0
7,257,262.5490760848952,5.549076084895205,0
8,231,236.4424177105218,5.442417710521795,0
9,268,273.5909869805109,5.590986980510877,0
10,256,261.5451774444796,5.545177444479577,0
11,321,326.77144112313,5.771441123129989,0
12,263,268.57215403217776,5.572154032177764,0
13,157,162.0562458053483,5.056245805348311,0
14,131,135.87519732320115,4.875197323201149,0
15,242,247.48893772615668,5.488937726156678,0
16,330,335.79909265446054,5.799092654460537,0
17,457,463.12468339089423,6.1246833908942335,0
18,309,314.73334127689776,5.733341276897761,0
19,369,374.91079664404054,5.910796644040545,0
20,154,159.03695260241363,5.036952602413635,0
21,242,247.48893772615668,5.488937726156678,0
22,139,143.9344739331307,4.934473933130704,0
23,58,62.06044301054642,4.060443010546422,0
24,122,126.80402104473326,4.804021044733261,0
