Hour,Energy,Predicted,Amount
1,137,141.9199809,4.919980926
2,192,197.2574954,5.257495372
3,189,194.241747,5.241747015
4,67,71.20469262,4.204692619
5,181,186.198497,5.198497031
6,155,160.0434251,5.043425117
7,144,148.9698133,4.9698133
8,129,133.8598124,4.859812404
9,142,146.9558271,4.955827058
10,140,144.9416424,4.941642423
11,122,126.804021,4.804021045
12,143,147.9628446,4.96284463
13,155,160.0434251,5.043425117
14,111,115.7095302,4.709530201
15,191,196.2522734,5.252273428
16,147,151.9904326,4.990432587
17,93,97.53259949,4.532599493
18,150,155.0106353,5.010635294
19,122,126.804021,4.804021045
20,187,192.2311086,5.231108617
21,124,128.8202816,4.820281566
22,116,120.7535902,4.753590191
23,116,120.7535902,4.753590191
24,55,59.00733319,4.007333185
