Hour,Energy,Predicted,Amount
1,146,150.9836066,4.983606622
2,102,106.6249728,4.624972813
3,161,166.0814044,5.081404365
4,71,75.26267988,4.262679877
5,97,101.574711,4.574710979
6,122,126.804021,4.804021045
7,196,201.2781147,5.278114659
8,88,92.47733681,4.477336814
9,107,111.6728288,4.672828834
10,198,203.288267,5.288267031
11,133,137.8903491,4.890349128
12,156,161.049856,5.049856007
13,171,176.1416636,5.141663557
14,115,119.7449321,4.744932128
15,155,160.0434251,5.043425117
16,152,157.0238805,5.023880521
17,152,157.0238805,5.023880521
18,127,131.8441871,4.844187086
19,119,123.7791235,4.779123493
20,78,82.35670883,4.356708827
21,114,118.7361984,4.736198448
22,106,110.6634391,4.663439094
23,166,171.1119878,5.111987788
24,149,154.0039463,5.003946306
