Hour,Energy,Predicted,Amount
1,237,242.4680601,5.468060141
2,205,210.32301,5.323009979
3,214,219.365976,5.365976015
4,215,220.370638,5.370638028
5,378,383.9348942,5.934894196
6,227,232.42495,5.424950017
7,257,262.5490761,5.549076085
8,231,236.4424177,5.442417711
9,268,273.590987,5.590986981
10,256,261.5451774,5.545177444
11,321,326.7714411,5.771441123
12,263,268.572154,5.572154032
13,157,162.0562458,5.056245805
14,131,135.8751973,4.875197323
15,242,247.4889377,5.488937726
16,330,335.7990927,5.799092654
17,457,463.1246834,6.124683391
18,309,314.7333413,5.733341277
19,369,374.9107966,5.910796644
20,154,159.0369526,5.036952602
21,242,247.4889377,5.488937726
22,139,143.9344739,4.934473933
23,58,62.06044301,4.060443011
24,122,126.804021,4.804021045
