Hour,Energy,Predicted,Amount
1,127,131.8441871,4.844187086
2,100,104.6051702,4.605170186
3,112,116.7184989,4.718498871
4,185,190.2203558,5.220355825
5,117,121.7621739,4.762173935
6,134,138.8978398,4.8978398
7,145,149.9767337,4.976733742
8,73,77.29045944,4.290459441
9,102,106.6249728,4.624972813
10,86,90.4543473,4.454347296
11,167,172.1179938,5.117993812
12,155,160.0434251,5.043425117
13,171,176.1416636,5.141663557
14,86,90.4543473,4.454347296
15,159,164.0689042,5.068904202
16,146,150.9836066,4.983606622
17,157,162.0562458,5.056245805
18,113,117.7273878,4.727387819
19,141,145.9487599,4.94875989
20,75,79.31748811,4.317488114
21,138,142.9272537,4.927253685
22,129,133.8598124,4.859812404
23,149,154.0039463,5.003946306
24,228,233.4293456,5.429345629
