Hour,Energy,Predicted,Amount
1,95,99.55387689,4.553876892
2,132,136.8828019,4.882801923
3,224,229.4116461,5.411646052
4,113,117.7273878,4.727387819
5,215,220.370638,5.370638028
6,195,200.2729996,5.272999559
7,220,225.3936275,5.393627546
8,127,131.8441871,4.844187086
9,110,114.7004804,4.700480366
10,153,158.0304379,5.030437921
11,119,123.7791235,4.779123493
12,236,241.4638318,5.463831805
13,171,176.1416636,5.141663557
14,177,182.1761497,5.176149733
15,193,198.2626902,5.262690189
16,139,143.9344739,4.934473933
17,130,134.8675345,4.86753445
18,224,229.4116461,5.411646052
19,189,194.241747,5.241747015
20,287,292.6594822,5.659482216
21,295,300.6869754,5.686975356
22,154,159.0369526,5.036952602
23,37,40.61091791,3.610917913
24,179,184.1873858,5.187385806
