Hour,Energy,Predicted,Amount
1,295,300.6869754,5.686975356
2,156,161.049856,5.049856007
3,164,169.0998664,5.099866428
4,237,242.4680601,5.468060141
5,122,126.804021,4.804021045
6,132,136.8828019,4.882801923
7,141,145.9487599,4.94875989
8,87,91.46590812,4.465908119
9,256,261.5451774,5.545177444
10,219,224.3890717,5.38907173
11,181,186.198497,5.198497031
12,172,177.1474945,5.147494477
13,119,123.7791235,4.779123493
14,163,168.0937502,5.093750201
15,199,204.2933048,5.293304825
16,30,33.40119738,3.401197382
17,280,285.6347896,5.634789603
18,174,179.1590553,5.159055299
19,190,195.2470241,5.247024072
20,106,110.6634391,4.663439094
21,202,207.3082677,5.308267697
22,158,163.062595,5.062595033
23,241,246.4847969,5.484796933
24,205,210.32301,5.323009979
