Hour,Energy,Predicted,Amount
1,73,77.29045944,4.290459441
2,114,118.7361984,4.736198448
3,90,94.49980967,4.49980967
4,73,77.29045944,4.290459441
5,90,94.49980967,4.49980967
6,106,110.6634391,4.663439094
7,57,61.04305127,4.043051268
8,93,97.53259949,4.532599493
9,114,118.7361984,4.736198448
10,160,165.0751738,5.075173815
11,97,101.574711,4.574710979
12,113,117.7273878,4.727387819
13,77,81.34380542,4.343805422
14,36,39.58351894,3.583518938
15,88,92.47733681,4.477336814
16,53,56.97029191,3.970291914
17,88,92.47733681,4.477336814
18,80,84.38202663,4.382026635
19,42,45.73766962,3.737669618
20,35,38.55534806,3.555348061
21,76,80.33073334,4.33073334
22,114,118.7361984,4.736198448
23,185,190.2203558,5.220355825
24,143,147.9628446,4.96284463
