Hour,Energy,Predicted,Amount
1,76,80.33073334,4.33073334
2,75,79.31748811,4.317488114
3,102,106.6249728,4.624972813
4,96,100.5643482,4.564348191
5,152,157.0238805,5.023880521
6,124,128.8202816,4.820281566
7,86,90.4543473,4.454347296
8,159,164.0689042,5.068904202
9,78,82.35670883,4.356708827
10,183,188.2094862,5.209486153
11,117,121.7621739,4.762173935
12,121,125.7957905,4.795790546
13,142,146.9558271,4.955827058
14,169,174.1298987,5.129898715
15,99,103.5951199,4.59511985
16,132,136.8828019,4.882801923
17,140,144.9416424,4.941642423
18,108,112.6821312,4.682131227
19,143,147.9628446,4.96284463
20,172,177.1474945,5.147494477
21,118,122.7706846,4.770684624
22,168,173.123964,5.123963979
23,197,202.2832037,5.283203729
24,83,87.41884061,4.418840608
