Hour,Energy,Predicted,Amount
1,47,50.8501476,3.850147602
2,67,71.20469262,4.204692619
3,45,48.80666249,3.80666249
4,43,46.76120012,3.761200116
5,45,48.80666249,3.80666249
6,32,35.4657359,3.465735903
7,45,48.80666249,3.80666249
8,105,109.6539604,4.65396035
9,129,133.8598124,4.859812404
10,56,60.02535169,4.025351691
11,24,27.17805383,3.17805383
12,49,52.8918203,3.891820298
13,55,59.00733319,4.007333185
14,90,94.49980967,4.49980967
15,113,117.7273878,4.727387819
16,85,89.44265126,4.442651256
17,31,34.4339872,3.433987204
18,65,69.17438727,4.17438727
19,115,119.7449321,4.744932128
20,93,97.53259949,4.532599493
21,47,50.8501476,3.850147602
22,100,104.6051702,4.605170186
23,88,92.47733681,4.477336814
24,87,91.46590812,4.465908119
