Hour,Energy,Predicted,Amount
1,93,97.53259949,4.532599493
2,188,193.236442,5.236441963
3,133,137.8903491,4.890349128
4,99,103.5951199,4.59511985
5,123,127.8121844,4.812184355
6,151,156.0172798,5.017279837
7,108,112.6821312,4.682131227
8,164,169.0998664,5.099866428
9,125,129.8283137,4.828313737
10,132,136.8828019,4.882801923
11,135,139.9052748,4.905274778
12,138,142.9272537,4.927253685
13,142,146.9558271,4.955827058
14,112,116.7184989,4.718498871
15,118,122.7706846,4.770684624
16,35,38.55534806,3.555348061
17,97,101.574711,4.574710979
18,88,92.47733681,4.477336814
19,102,106.6249728,4.624972813
20,83,87.41884061,4.418840608
21,107,111.6728288,4.672828834
22,101,105.6151205,4.615120517
23,220,225.3936275,5.393627546
24,121,125.7957905,4.795790546
