Hour,Energy,Predicted,Amount
1,89,93.48863637,4.48863637
2,58,62.06044301,4.060443011
3,79,83.36944785,4.369447852
4,82,86.40671925,4.406719247
5,130,134.8675345,4.86753445
6,120,124.7874917,4.787491743
7,108,112.6821312,4.682131227
8,140,144.9416424,4.941642423
9,60,64.09434456,4.094344562
10,54,57.98898405,3.988984047
11,97,101.574711,4.574710979
12,81,85.39444915,4.394449155
13,60,64.09434456,4.094344562
14,119,123.7791235,4.779123493
15,106,110.6634391,4.663439094
16,37,40.61091791,3.610917913
17,85,89.44265126,4.442651256
18,75,79.31748811,4.317488114
19,101,105.6151205,4.615120517
20,58,62.06044301,4.060443011
21,77,81.34380542,4.343805422
22,47,50.8501476,3.850147602
23,45,48.80666249,3.80666249
24,84,88.4308168,4.430816799
