Hour,Energy,Predicted,Amount
1,140,144.9416424,4.941642423
2,63,67.14313473,4.143134726
3,83,87.41884061,4.418840608
4,137,141.9199809,4.919980926
5,87,91.46590812,4.465908119
6,162,167.0875963,5.087596335
7,108,112.6821312,4.682131227
8,212,217.3565863,5.356586275
9,94,98.54329478,4.543294782
10,93,97.53259949,4.532599493
11,101,105.6151205,4.615120517
12,118,122.7706846,4.770684624
13,95,99.55387689,4.553876892
14,124,128.8202816,4.820281566
15,106,110.6634391,4.663439094
16,74,78.30406509,4.304065093
17,57,61.04305127,4.043051268
18,85,89.44265126,4.442651256
19,83,87.41884061,4.418840608
20,111,115.7095302,4.709530201
21,200,205.2983174,5.298317367
22,145,149.9767337,4.976733742
23,90,94.49980967,4.49980967
24,103,107.634729,4.634728988
