Hour,Energy,Predicted,Amount
1,258,263.5529596,5.552959585
2,167,172.1179938,5.117993812
3,165,170.1059455,5.105945474
4,128,132.8520303,4.852030264
5,217,222.3798974,5.379897354
6,342,347.8348107,5.834810737
7,168,173.123964,5.123963979
8,241,246.4847969,5.484796933
9,116,120.7535902,4.753590191
10,107,111.6728288,4.672828834
11,308,313.7300998,5.730099783
12,115,119.7449321,4.744932128
13,129,133.8598124,4.859812404
14,64,68.15888308,4.158883083
15,95,99.55387689,4.553876892
16,107,111.6728288,4.672828834
17,61,65.11087386,4.110873864
18,255,260.5412635,5.541263545
19,142,146.9558271,4.955827058
20,177,182.1761497,5.176149733
21,232,237.4467374,5.446737372
22,256,261.5451774,5.545177444
23,183,188.2094862,5.209486153
24,220,225.3936275,5.393627546
