Station,Energy,Predicted,Amount,Distance
CS_1,45,48.80666249,3.80666249,6
CS_2,108,112.68213119999999,4.682131227,9
CS_3,57,61.04305127,4.043051268,17
CS_4,108,112.68213119999999,4.682131227,26
CS_5,145,149.97673369999998,4.9767337419999995,21
CS_6,144,148.96981330000003,4.9698133,53
CS_8,86,90.4543473,4.454347296,27
CS_9,127,131.8441871,4.844187086,16
CS_10,196,201.27811469999997,5.278114659,32
CS_11,220,225.39362749999998,5.393627546,44
CS_12,141,145.94875990000003,4.94875989,9
CS_13,168,173.123964,5.123963979,5
CS_14,257,262.5490761,5.549076085,13
