Station,Energy,Predicted,Amount,Distance
CS_1,105,109.6539604,4.65396035,32
CS_2,140,144.9416424,4.941642423,34
CS_3,93,97.53259949,4.532599493,23
CS_4,212,217.3565863,5.356586275,15
CS_5,73,77.29045944,4.290459441,49
CS_6,129,133.8598124,4.8598124039999995,81
CS_7,164,169.09986640000002,5.099866428,27
CS_9,195,200.2729996,5.272999559,20
CS_10,88,92.47733681,4.477336814,47
CS_11,127,131.8441871,4.844187086,46
CS_12,87,91.46590812,4.465908119,31
CS_13,241,246.4847969,5.484796932999999,31
CS_14,231,236.44241769999996,5.442417711,37
