Station,Energy,Predicted,Amount,Distance
CS_1,129,133.8598124,4.8598124039999995,17
CS_2,60,64.09434456,4.094344562,16
CS_4,94,98.54329478,4.543294782,12
CS_5,102,106.6249728,4.624972813,32
CS_6,142,146.9558271,4.955827058000001,63
CS_7,125,129.82831370000002,4.828313737,17
CS_8,78,82.35670883,4.356708827,23
CS_9,114,118.73619840000002,4.736198448000001,27
CS_10,107,111.67282879999999,4.672828834,49
CS_11,110,114.7004804,4.700480366,58
CS_12,256,261.5451774,5.545177444,12
CS_13,116,120.7535902,4.753590191,17
CS_14,268,273.590987,5.590986981,18
